product id,review no,sentance no,feature,opinion,senti score +ve,senti score -ve
B00004W644,1,3,battery,dead,0.0833333333333,0.3125
B00004W644,2,2,work,better,0.515444444444,0.0215925925926
B00004W644,3,10,month,big,0.125,0.075
B00004W644,4,3,time,short,0.0138888888889,0.131944444444
B00004W644,5,3,battery,dead,0.0833333333333,0.3125
B00004W644,6,2,work,better,0.515444444444,0.0215925925926
B00004W644,7,10,month,big,0.125,0.075
B00004W644,8,3,time,short,0.0138888888889,0.131944444444
B00004W64A,1,3,battery,last,0.0,0.00961538461538
B00004W64A,1,6,battery,big,0.125,0.075
B00004W64A,1,7,battery,better,0.515444444444,0.0215925925926
B00004W64A,2,1,battery,extended,0.0486111111111,0.00694444444444
B00004W64A,2,1,battery,less,0.0625,0.21875
B00004W64A,2,1,battery,expensive,0.5,0.0
B00004W64A,2,1,battery,regular,0.0,0.09375
B00004W64A,2,1,battery,cheaper,0.0,0.25
B00004W64A,2,1,battery,helpful,0.25,0.0
B00004W64A,2,2,charger,last,0.00961538461538,0.0
B00004W64A,3,1,battery,manual,0.03125,0.09375
B00004W64A,3,3,charger,minimum,0.0833333333333,0.0
B00004W64A,3,8,battery,much,0.0357142857143,0.160714285714
B00004W64A,3,8,battery,first,0.0208333333333,0.0
B00004W64A,3,10,battery,new,0.208333333333,0.0
B00004W64A,4,0,battery,standard,0.0972222222222,0.0416666666667
B00004W64A,4,0,battery,last,0.00961538461538,0.0
B00004W64A,4,2,battery,last,0.00961538461538,0.0
B00004W64A,4,9,thing,last,0.00961538461538,0.0
B00004W64A,5,0,phone,old,0.125,0.125
B00004W64A,5,1,battery,original,0.291666666667,0.0
B00004W64A,6,3,battery,sure,0.166666666667,0.166666666667
B00004W64A,6,3,battery,unhappy,0.0625,0.8125
B00004W64A,6,4,thing,best,0.414869565217,0.025347826087
B00004W64A,7,3,battery,last,0.0,0.00961538461538
B00004W64A,7,6,battery,big,0.125,0.075
B00004W64A,7,7,battery,better,0.515444444444,0.0215925925926
B00004W64A,8,1,battery,extended,0.0486111111111,0.00694444444444
B00004W64A,8,1,battery,less,0.0625,0.21875
B00004W64A,8,1,battery,expensive,0.5,0.0
B00004W64A,8,1,battery,regular,0.0,0.09375
B00004W64A,8,1,battery,cheaper,0.0,0.25
B00004W64A,8,1,battery,helpful,0.25,0.0
B00004W64A,8,2,charger,last,0.00961538461538,0.0
B00004W64A,9,1,battery,manual,0.03125,0.09375
B00004W64A,9,3,charger,minimum,0.0833333333333,0.0
B00004W64A,9,8,battery,much,0.0357142857143,0.160714285714
B00004W64A,9,8,battery,first,0.0208333333333,0.0
B00004W64A,9,10,battery,new,0.208333333333,0.0
B00004W64A,10,0,battery,standard,0.0972222222222,0.0416666666667
B00004W64A,10,0,battery,last,0.00961538461538,0.0
B00004W64A,10,2,battery,last,0.00961538461538,0.0
B00004W64A,10,9,thing,last,0.00961538461538,0.0
B00004W64A,11,0,phone,old,0.125,0.125
B00004W64A,11,1,battery,original,0.291666666667,0.0
B00004W64A,12,3,battery,sure,0.166666666667,0.166666666667
B00004W64A,12,3,battery,unhappy,0.0625,0.8125
B00004W64A,12,4,thing,best,0.414869565217,0.025347826087
B00004W64K,1,6,battery,new,0.208333333333,0.0
B00004W64K,2,6,battery,new,0.208333333333,0.0
B00004W64U,1,1,year,original,0.291666666667,0.0
B00004W64U,1,2,battery,long,0.09375,0.109375
B00004W64U,1,2,battery,new,0.208333333333,0.0
B00004W64U,1,2,battery,much,0.160714285714,0.0357142857143
B00004W64U,1,2,battery,new,0.208333333333,0.0
B00004W64U,1,4,battery,happy,0.875,0.0
B00004W64U,1,9,phone,original,0.291666666667,0.0
B00004W64U,1,9,phone,nicer,0.875,0.0
B00004W64U,1,10,charger,negative,0.0,0.464285714286
B00004W64U,1,10,charger,last,0.00961538461538,0.0
B00004W64U,1,10,charger,old,0.125,0.125
B00004W64U,1,12,battery,simple,0.15625,0.15625
B00004W64U,1,13,battery,good,0.515625,0.0
B00004W64U,2,1,year,original,0.291666666667,0.0
B00004W64U,2,2,battery,long,0.09375,0.109375
B00004W64U,2,2,battery,new,0.208333333333,0.0
B00004W64U,2,2,battery,much,0.160714285714,0.0357142857143
B00004W64U,2,2,battery,new,0.208333333333,0.0
B00004W64U,2,4,battery,happy,0.875,0.0
B00004W64U,2,9,phone,original,0.291666666667,0.0
B00004W64U,2,9,phone,nicer,0.875,0.0
B00004W64U,2,10,charger,negative,0.0,0.464285714286
B00004W64U,2,10,charger,last,0.00961538461538,0.0
B00004W64U,2,10,charger,old,0.125,0.125
B00004W64U,2,12,battery,simple,0.15625,0.15625
B00004W64U,2,13,battery,good,0.515625,0.0
B00004W64W,1,0,battery,standard,0.0972222222222,0.0416666666667
B00004W64W,2,2,time,digital,0.0416666666667,0.0
B00004W64W,3,0,battery,standard,0.0972222222222,0.0416666666667
B00004W64W,4,2,time,digital,0.0416666666667,0.0
B00004W64Y,1,0,phone,happy,0.875,0.0
B00004W64Y,1,1,battery,cheaper,0.0,0.25
B00004W64Y,2,3,phone,larger,0.25,0.125
B00004W64Y,2,3,phone,relative,0.0833333333333,0.166666666667
B00004W64Y,3,4,battery,second,0.0446428571429,0.0178571428571
B00004W64Y,3,4,battery,original,0.291666666667,0.0
B00004W64Y,4,4,charger,long,0.09375,0.109375
B00004W64Y,4,7,charger,light,0.0875,0.0625
B00004W64Y,4,8,battery,new,0.208333333333,0.0
B00004W64Y,5,1,feature,strong,0.0,0.375
B00004W64Y,5,6,battery,first,0.0,0.0208333333333
B00004W64Y,6,2,time,loud,0.125,0.0416666666667
B00004W64Y,6,4,time,able,0.125,0.0
B00004W64Y,6,5,phone,able,0.0,0.125
B00004W64Y,6,6,battery,important,0.583333333333,0.0833333333333
B00004W64Y,6,7,battery,careful,0.0,0.5
B00004W64Y,6,8,battery,first,0.0208333333333,0.0
B00004W64Y,6,8,battery,due,0.225,0.0
B00004W64Y,7,0,battery,last,0.00961538461538,0.0
B00004W64Y,7,2,thing,bad,0.05,0.525
B00004W64Y,7,2,thing,extended,0.0486111111111,0.00694444444444
B00004W64Y,7,4,thing,careful,0.5,0.0
B00004W64Y,7,4,thing,first,0.0208333333333,0.0
B00004W64Y,8,4,phone,less,0.0625,0.21875
B00004W64Y,10,3,battery,stronger,0.375,0.0
B00004W64Y,11,0,phone,cool,0.140625,0.171875
B00004W64Y,11,1,price,small,0.0,0.09375
B00004W64Y,12,0,phone,happy,0.875,0.0
B00004W64Y,12,1,battery,cheaper,0.0,0.25
B00004W64Y,13,3,phone,larger,0.25,0.125
B00004W64Y,13,3,phone,relative,0.0833333333333,0.166666666667
B00004W64Y,14,4,battery,second,0.0446428571429,0.0178571428571
B00004W64Y,14,4,battery,original,0.291666666667,0.0
B00004W64Y,15,4,charger,long,0.09375,0.109375
B00004W64Y,15,7,charger,light,0.0875,0.0625
B00004W64Y,15,8,battery,new,0.208333333333,0.0
B00004W64Y,16,1,feature,strong,0.0,0.375
B00004W64Y,16,6,battery,first,0.0,0.0208333333333
B00004W64Y,17,2,time,loud,0.125,0.0416666666667
B00004W64Y,17,4,time,able,0.125,0.0
B00004W64Y,17,5,phone,able,0.0,0.125
B00004W64Y,17,6,battery,important,0.583333333333,0.0833333333333
B00004W64Y,17,7,battery,careful,0.0,0.5
B00004W64Y,17,8,battery,first,0.0208333333333,0.0
B00004W64Y,17,8,battery,due,0.225,0.0
B00004W64Y,18,0,battery,last,0.00961538461538,0.0
B00004W64Y,18,2,thing,bad,0.05,0.525
B00004W64Y,18,2,thing,extended,0.0486111111111,0.00694444444444
B00004W64Y,18,4,thing,careful,0.5,0.0
B00004W64Y,18,4,thing,first,0.0208333333333,0.0
B00004W64Y,19,4,phone,less,0.0625,0.21875
B00004W64Y,21,3,battery,stronger,0.375,0.0
B00004W64Y,22,0,phone,cool,0.140625,0.171875
B00004W64Y,22,1,price,small,0.0,0.09375
B00004W650,1,0,battery,important,0.583333333333,0.0833333333333
B00004W650,1,1,battery,small,0.0,0.09375
B00004W650,1,3,battery,less,0.0625,0.21875
B00004W650,2,0,battery,important,0.583333333333,0.0833333333333
B00004W650,2,1,battery,small,0.0,0.09375
B00004W650,2,3,battery,less,0.0625,0.21875
B00004W6BV,1,6,phone,little,0.025,0.425
B00004W6BV,1,7,phone,easy,0.325,0.1
B00004W6BV,4,0,phone,best,0.414869565217,0.025347826087
B00004W6BV,5,2,phone,low,0.0,0.0416666666667
B00004W6BV,5,3,phone,high,0.0446428571429,0.0267857142857
B00004W6BV,5,4,phone,adhesive,0.25,0.125
B00004W6BV,5,5,case,easy,0.325,0.1
B00004W6BV,5,6,phone,easy,0.325,0.1
B00004W6BV,6,1,phone,good,0.515625,0.0
B00004W6BV,6,3,problem,main,0.0833333333333,0.0
B00004W6BV,6,12,case,ideal,0.0,0.25
B00004W6BV,6,14,phone,oldest,0.1875,0.1875
B00004W6BV,7,0,year,last,0.00961538461538,0.0
B00004W6BV,8,1,month,attached,0.0357142857143,0.0178571428571
B00004W6BV,8,2,phone,original,0.291666666667,0.0
B00004W6BV,8,3,case,standard,0.0972222222222,0.0416666666667
B00004W6BV,9,2,month,flat,0.0454545454545,0.0681818181818
B00004W6BV,9,2,month,close,0.055,0.025
B00004W6BV,9,3,thing,whole,0.125,0.0
B00004W6BV,11,4,month,necessary,0.3125,0.0625
B00004W6BV,11,5,year,last,0.00961538461538,0.0
B00004W6BV,11,7,button,last,0.00961538461538,0.0
B00004W6BV,11,8,product,negative,0.0,0.464285714286
B00004W6BV,13,3,year,last,0.00961538461538,0.0
B00004W6BV,13,6,year,certain,0.0625,0.125
B00004W6BV,13,8,year,better,0.515444444444,0.0215925925926
B00004W6BV,14,2,phone,better,0.515444444444,0.0215925925926
B00004W6BV,15,6,phone,little,0.025,0.425
B00004W6BV,15,7,phone,easy,0.325,0.1
B00004W6BV,18,0,phone,best,0.414869565217,0.025347826087
B00004W6BV,19,2,phone,low,0.0,0.0416666666667
B00004W6BV,19,3,phone,high,0.0446428571429,0.0267857142857
B00004W6BV,19,4,phone,adhesive,0.25,0.125
B00004W6BV,19,5,case,easy,0.325,0.1
B00004W6BV,19,6,phone,easy,0.325,0.1
B00004W6BV,20,1,phone,good,0.515625,0.0
B00004W6BV,20,3,problem,main,0.0833333333333,0.0
B00004W6BV,20,12,case,ideal,0.0,0.25
B00004W6BV,20,14,phone,oldest,0.1875,0.1875
B00004W6BV,21,0,year,last,0.00961538461538,0.0
B00004W6BV,22,1,month,attached,0.0357142857143,0.0178571428571
B00004W6BV,22,2,phone,original,0.291666666667,0.0
B00004W6BV,22,3,case,standard,0.0972222222222,0.0416666666667
B00004W6BV,23,2,month,flat,0.0454545454545,0.0681818181818
B00004W6BV,23,2,month,close,0.055,0.025
B00004W6BV,23,3,thing,whole,0.125,0.0
B00004W6BV,25,4,month,necessary,0.3125,0.0625
B00004W6BV,25,5,year,last,0.00961538461538,0.0
B00004W6BV,25,7,button,last,0.00961538461538,0.0
B00004W6BV,25,8,product,negative,0.0,0.464285714286
B00004W6BV,27,3,year,last,0.00961538461538,0.0
B00004W6BV,27,6,year,certain,0.0625,0.125
B00004W6BV,27,8,year,better,0.515444444444,0.0215925925926
B00004W6BV,28,2,phone,better,0.515444444444,0.0215925925926
B00004W6BY,1,6,case,odd,0.375,0.5
B00004W6BY,1,7,case,strong,0.375,0.0
B00004W6BY,1,8,phone,open,0.0416666666667,0.0416666666667
B00004W6BY,1,9,case,small,0.0,0.09375
B00004W6BY,2,6,case,odd,0.375,0.5
B00004W6BY,2,7,case,strong,0.375,0.0
